Year,State,total,party.1,%,EV,party.2,%,EV,party.3,%,EV,party.4,%,EV,Party,Notes
1948 - Truman,Nebraska,488940,224165,45.8,,264774,54.2,6,0,0, ,,,,Republican,
1948 - Truman,Nevada,62117,31291,50.4,3,29357,47.3,,0,0, ,,,,Democratic,
1948 - Truman,New Hampshire,231440,107995,46.7,,121299,52.4,4,7,0, ,,,,Republican,
1948 - Truman,New Jersey,1949555,895455,45.9,,981124,50.3,16,0,0, ,,,,Republican,
1948 - Truman,New Mexico,187063,105464,56.4,4,80303,42.9,,0,0, ,,,,Democratic,
1948 - Truman,New York,6177337,2780204,45,,2841163,46,47,0,0, ,,,,Republican,
1948 - Truman,North Carolina,791209,459070,58,14,258572,32.7,,69652,8.8, ,,,,Democratic,
1948 - Truman,North Dakota,220716,95812,43.4,,115139,52.2,4,374,0.2, ,,,,Republican,
1948 - Truman,Ohio,2936071,1452791,49.5,25,1445684,49.2,,0,0, ,,,,Democratic,
1948 - Truman,Oklahoma,721599,452782,62.7,10,268817,37.3,,0,0, ,,,,Democratic,
1948 - Truman,Oregon,524080,243147,46.4,,260904,49.8,6,0,0, ,,,,Republican,
1948 - Truman,Pennsylvania,3735348,1752426,46.9,,1902197,50.9,35,0,0, ,,,,Republican,
1948 - Truman,Rhode Island,327702,188736,57.6,4,135787,41.4,,0,0, ,,,,Democratic,
1948 - Truman,South Carolina,142571,34423,24.1,,5386,3.8,,102607,72,8,,,,Other,
1948 - Truman,South Dakota,250105,117653,47,,129651,51.8,4,0,0, ,,,,Republican,
1948 - Truman,Tennessee,550283,270402,49.1,11,202914,36.9,,73815,13.4,1,,,,Democratic,
1948 - Truman,Texas,1147245,750700,65.4,23,282240,24.6,,106909,9.3, ,,,,Democratic,
1948 - Truman,Utah,276306,149151,54,4,124402,45,,0,0, ,,,,Democratic,
1948 - Truman,Vermont,123382,45557,36.9,,75926,61.5,3,0,0, ,,,,Republican,
1948 - Truman,Virginia,419256,200786,47.9,11,172070,41,,43393,10.4, ,,,,Democratic,
1948 - Truman,Washington,905058,476165,52.6,8,386314,42.7,,0,0, ,,,,Democratic,
1948 - Truman,West Virginia,748750,429188,57.3,8,316251,42.2,,0,0, ,,,,Democratic,
1948 - Truman,Wisconsin,1276800,647310,50.7,12,590959,46.3,,0,0, ,,,,Democratic,
1948 - Truman,Wyoming,101425,52354,51.6,3,47947,47.3,,0,0, ,,,,Democratic,
1952 - Eisenhower,Alabama,426120,149231,35,,275075,64.6,11,,,,,,,Democratic,
1952 - Eisenhower,Arizona,260570,152042,58.3,4,108528,41.7,,,,,,,,Republican,
1952 - Eisenhower,Arkansas,404800,177155,43.8,,226300,55.9,8,,,,,,,Democratic,
1952 - Eisenhower,California,5141849,2897310,56.3,32,2197548,42.7,,,,,,,,Republican,
1952 - Eisenhower,Colorado,630103,379782,60.3,6,245504,39,,,,,,,,Republican,
1952 - Eisenhower,Connecticut,1096911,611012,55.7,8,481649,43.9,,,,,,,,Republican,
1952 - Eisenhower,Delaware,174025,90059,51.8,3,83315,47.9,,,,,,,,Republican,
1952 - Eisenhower,Florida,989337,544036,55,10,444950,45,,,,,,,,Republican,
1952 - Eisenhower,Georgia,655785,198961,30.3,,456823,69.7,12,,,,,,,Democratic,
1952 - Eisenhower,Idaho,276254,180707,65.4,4,95081,34.4,,,,,,,,Republican,
1952 - Eisenhower,Illinois,4481058,2457327,54.8,27,2013920,44.9,,,,,,,,Republican,
1952 - Eisenhower,Indiana,1955049,1136259,58.1,13,801530,41,,,,,,,,Republican,
