Year,State,total,party.1,%,EV,party.2,%,EV,party.3,%,EV,party.4,%,EV,Party,Notes
1789 - Washington,Connecticut,,7,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,Delaware,,3,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,Georgia,,5,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,Maryland,,6,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,Massachusetts,,10,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,New Hampshire,,5,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,New Jersey,,6,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,Pennsylvania,,10,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,South Carolina,,7,,,0,,,,,,,,,Federalist,Electoral votes only
1789 - Washington,Virginia,,10,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Massachusetts,,16,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Rhode Island,,4,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Connecticut,,9,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,New Jersey,,7,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Delaware,,3,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Maryland,,8,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Vermont,,3,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,New Hampshire,,6,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,New York,,12,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Pennsylvania,,15,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Virginia,,21,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Kentucky,,4,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,North Carolina,,12,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,South Carolina,,8,,,0,,,,,,,,,Federalist,Electoral votes only
1792 - Washington,Georgia,,4,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Connecticut,,9,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Delaware,,3,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Georgia,,0,,,4,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Kentucky,,0,,,4,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Maryland,,7,,,4,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Massachusetts,,16,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,New Hampshire,,6,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,New Jersey,,7,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,New York,,12,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,North Carolina,,1,,,11,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Pennsylvania,,1,,,14,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Rhode Island,,4,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,South Carolina,,0,,,8,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Tennessee,,0,,,3,,,,,,,,,Democratic-Republican,Electoral votes only
1796 - Adams,Vermont,,4,,,0,,,,,,,,,Federalist,Electoral votes only
1796 - Adams,Virginia,,1,,,20,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Connecticut,,0,,,9,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,Delaware,,0,,,3,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,Georgia,,4,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Kentucky,,4,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Maryland,,5,,,5,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Massachusetts,,0,,,16,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,New Hampshire,,0,,,6,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,New Jersey,,0,,,7,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,New York,,12,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,North Carolina,,8,,,4,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Pennsylvania,,8,,,7,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Rhode Island,,0,,,4,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,South Carolina,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Tennessee,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1800 - Jefferson,Vermont,,0,,,4,,,,,,,,,Federalist,Electoral votes only
1800 - Jefferson,Virginia,,21,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Connecticut,,0,,,9,,,,,,,,,Federalist,Electoral votes only
1804 - Jefferson,Delaware,,0,,,3,,,,,,,,,Federalist,Electoral votes only
1804 - Jefferson,Georgia,,6,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Kentucky,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Maryland,,9,,,2,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Massachusetts,,19,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,New Hampshire,,7,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,New Jersey,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,New York,,19,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,North Carolina,,14,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Ohio,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Pennsylvania,,20,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Rhode Island,,4,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,South Carolina,,10,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Tennessee,,5,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Vermont,,6,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1804 - Jefferson,Virginia,,24,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Connecticut,,0,,,9,,,,,,,,,Federalist,Electoral votes only
1808 - Madison,Delaware,,0,,,3,,,,,,,,,Federalist,Electoral votes only
1808 - Madison,Georgia,,6,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Kentucky,,7,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Maryland,,9,,,2,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Massachusetts,,0,,,19,,,,,,,,,Federalist,Electoral votes only
1808 - Madison,New Hampshire,,0,,,7,,,,,,,,,Federalist,Electoral votes only
1808 - Madison,New Jersey,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,New York,,13,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,North Carolina,,11,,,3,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Ohio,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Pennsylvania,,20,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Rhode Island,,0,,,4,,,,,,,,,Federalist,Electoral votes only
1808 - Madison,South Carolina,,10,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Tennessee,,5,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Vermont,,6,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1808 - Madison,Virginia,,24,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Connecticut,,0,,,9,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,Delaware,,0,,,4,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,Georgia,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Kentucky,,12,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Louisiana,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Maryland,,6,,,5,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Massachusetts,,0,,,22,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,New Hampshire,,0,,,8,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,New Jersey,,0,,,8,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,New York,,0,,,29,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,North Carolina,,15,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Ohio,,7,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Pennsylvania,,25,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Rhode Island,,0,,,4,,,,,,,,,Federalist,Electoral votes only
1812 - Madison,South Carolina,,11,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Tennessee,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Vermont,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1812 - Madison,Virginia,,25,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,Connecticut,,0,,,9,,,,,,,,,Federalist,Electoral votes only
1816 - Monroe,Delaware,,0,,,3,,,,,,,,,Federalist,Electoral votes only
1816 - Monroe,Georgia,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,Indiana,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,Kentucky,,12,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,Louisiana,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,Maryland,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,Massachusetts,,0,,,22,,,,,,,,,Federalist,Electoral votes only
1816 - Monroe,New Hampshire,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,New Jersey,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,New York,,29,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,North Carolina,,15,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,Ohio,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,Pennsylvania,,25,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,Rhode Island,,4,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,South Carolina,,11,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,Tennessee,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,Vermont,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1816 - Monroe,Virginia,,25,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Alabama,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Connecticut,,9,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Delaware,,4,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Georgia,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Illinois,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Indiana,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Kentucky,,12,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Louisiana,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Maine,,9,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Maryland,,11,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Massachusetts,,15,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Mississippi,,2,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Missouri,,3,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,New Hampshire,,7,,,1,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,New Jersey,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,New York,,29,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,North Carolina,,15,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Ohio,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Pennsylvania,,24,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Rhode Island,,4,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,South Carolina,,11,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Tennessee,,7,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Vermont,,8,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1820 - Monroe,Virginia,,25,,,0,,,,,,,,,Democratic-Republican,Electoral votes only
1824 - Adams,Alabama,13603,2422,17.8, ,9429,69.3,5,96,0.7, ,1656,12.2, ,Democratic-Republican,
1824 - Adams,Connecticut,10647,7494,70.4,8,0, , ,0, , ,1965,18.5, ,Democratic-Republican,
1824 - Adams,Delaware,,1,,,0,,,0,,,2,,,Democratic-Republican,Chosen by state legislature
1824 - Adams,Georgia,,0,,,0,,,0,,,9,,,Democratic-Republican,Chosen by state legislature
1824 - Adams,Illinois,4671,1516,32.5,1,1272,27.2,2,1036,22.2, ,847,18.1, ,Democratic-Republican,
1824 - Adams,Indiana,15838,3071,19.4, ,7444,47,5,5316,33.6, ,0, , ,Democratic-Republican,
1824 - Adams,Kentucky,23338,0, , ,6356,27.2, ,16982,72.8,14,0, , ,Democratic-Republican,
1824 - Adams,Louisiana,,2,,,3,,,0,,,0,,,Democratic-Republican,Chosen by state legislature
1824 - Adams,Maine,12625,10289,81.5,9,0, , ,0, , ,2336,18.5, ,Democratic-Republican,
1824 - Adams,Maryland,33214,14632,44.1,3,14523,43.7,7,695,2.1, ,3364,10.1,1,Democratic-Republican,
1824 - Adams,Massachusetts,42056,30687,73,15,0, , ,0, , ,0, , ,Democratic-Republican,
1824 - Adams,Mississippi,4894,1654,33.8, ,3121,63.8,3,0, , ,119,2.4, ,Democratic-Republican,
1824 - Adams,Missouri,3432,159,4.6, ,1166,34, ,2042,59.5,3,32,0.9, ,Democratic-Republican,
1824 - Adams,New Hampshire,10032,9389,93.6,8,0, , ,0, , ,643,6.4, ,Democratic-Republican,
1824 - Adams,New Jersey,19837,8309,41.9, ,10332,52.1,8,0, , ,1196,6, ,Democratic-Republican,
1824 - Adams,New York,,26,,,1,,,4,,,5,,,Democratic-Republican,Chosen by state legislature
1824 - Adams,North Carolina,36109,0, , ,20231,56,15,0, , ,15622,43.3, ,Democratic-Republican,
1824 - Adams,Ohio,50024,12280,24.5, ,18489,37, ,19255,38.5,16,0, , ,Democratic-Republican,
1824 - Adams,Pennsylvania,47073,5441,11.6, ,35736,75.9,28,1690,3.6, ,4206,8.9, ,Democratic-Republican,
1824 - Adams,Rhode Island,2344,2144,91.5,4,0, , ,0, , ,0, , ,Democratic-Republican,
1824 - Adams,South Carolina,,0,,,11,,,0,,,0,,,Democratic-Republican,Chosen by state legislature
1824 - Adams,Tennessee,20725,216,1, ,20197,97.5,11,0, , ,312,1.5, ,Democratic-Republican,
1824 - Adams,Vermont,,7,,,0,,,0,,,0,,,Democratic-Republican,Chosen by state legislature
1824 - Adams,Virginia,15371,3419,22.2, ,2975,19.4, ,419,2.7, ,8558,55.7,24,Democratic-Republican,
1828 - Jackson,Alabama,18618,16736,89.9,5,1878,10.1, ,,,,,,,Democratic,
1828 - Jackson,Connecticut,19378,4448,23, ,13829,71.4,8,,,,,,,Other,
1828 - Jackson,Delaware,,0,,,3,,,,,,,,,Other,Chosen by state legislature
1828 - Jackson,Georgia,20004,19362,96.8,9,642,3.2, ,,,,,,,Democratic,
1828 - Jackson,Illinois,14222,9560,67.2,3,4662,32.8, ,,,,,,,Democratic,
1828 - Jackson,Indiana,39210,22201,56.6,5,17009,43.4, ,,,,,,,Democratic,
1828 - Jackson,Kentucky,70776,39308,55.5,14,31468,44.5, ,,,,,,,Democratic,
1828 - Jackson,Louisiana,8687,4605,53,5,4082,47, ,,,,,,,Democratic,
1828 - Jackson,Maine,34789,13927,40,1,20773,59.7,8,,,,,,,Other,
1828 - Jackson,Maryland,45796,22782,49.7,5,23014,50.3,6,,,,,,,Other,
1828 - Jackson,Massachusetts,39074,6012,15.4, ,29836,76.4,15,,,,,,,Other,
1828 - Jackson,Mississippi,8344,6763,81.1,3,1581,18.9, ,,,,,,,Democratic,
1828 - Jackson,Missouri,11654,8232,70.6,3,3422,29.4, ,,,,,,,Democratic,
1828 - Jackson,New Hampshire,44035,20212,45.9, ,23823,54.1,8,,,,,,,Other,
1828 - Jackson,New Jersey,45570,21809,47.9, ,23753,52.1,8,,,,,,,Other,
1828 - Jackson,New York,270975,139412,51.4,20,131563,48.6,16,,,,,,,Democratic,
1828 - Jackson,North Carolina,51747,37814,73.1,15,13918,26.9, ,,,,,,,Democratic,
1828 - Jackson,Ohio,131049,67596,51.6,16,63453,48.4, ,,,,,,,Democratic,
1828 - Jackson,Pennsylvania,152220,101457,66.7,28,50763,33.3, ,,,,,,,Democratic,
1828 - Jackson,Rhode Island,3580,820,22.9, ,2755,77,4,,,,,,,Other,
1828 - Jackson,South Carolina,,11,,,0,,,,,,,,,Democratic,Chosen by state legislature
1828 - Jackson,Tennessee,46533,44293,95.2,11,2240,4.8, ,,,,,,,Democratic,
1828 - Jackson,Vermont,32833,8350,25.4, ,24363,74.2,7,,,,,,,Other,
1828 - Jackson,Virginia,38924,26854,69,24,12070,31, ,,,,,,,Democratic,
1832 - Jackson,Alabama,14291,14286,100,7,5,0, ,0, , ,,,,Democratic,
1832 - Jackson,Connecticut,32833,11269,34.3, ,18155,55.3,8,3409,10.4, ,,,,Other,
1832 - Jackson,Delaware,8386,4110,49, ,4276,51,3,0, , ,,,,Other,
1832 - Jackson,Georgia,20750,20750,100,11,0, , ,0, , ,,,,Democratic,
1832 - Jackson,Illinois,21481,14609,68,5,6745,31.4, ,97,0.5, ,,,,Democratic,
1832 - Jackson,Indiana,57152,31652,55.4,9,25473,44.6, ,27,0, ,,,,Democratic,
1832 - Jackson,Kentucky,79741,36292,45.5, ,43449,54.5,15,0, , ,,,,Other,
1832 - Jackson,Louisiana,6337,3908,61.7,5,2429,38.3, ,0, , ,,,,Democratic,
1832 - Jackson,Maine,62153,33978,54.7,10,27331,44, ,844,1.4, ,,,,Democratic,
1832 - Jackson,Maryland,38316,19156,50,3,19160,50,5,0, , ,,,,Other,
1832 - Jackson,Massachusetts,67619,13933,20.6, ,31963,47.3,14,14692,21.7, ,,,,Other,
1832 - Jackson,Mississippi,5750,5750,100,4,0, , ,0, , ,,,,Democratic,
1832 - Jackson,Missouri,5192,5192,100,4,0, , ,0, , ,,,,Democratic,
1832 - Jackson,New Hampshire,43793,24855,56.8,7,18938,43.2, ,0, , ,,,,Democratic,
1832 - Jackson,New Jersey,47760,23826,49.9,8,23466,49.1, ,468,1, ,,,,Democratic,
1832 - Jackson,New York,323393,168497,52.1,42,154896,47.9, ,0, , ,,,,Democratic,
1832 - Jackson,North Carolina,29799,25261,84.8,15,4538,15.2, ,0, , ,,,,Democratic,
1832 - Jackson,Ohio,158350,81246,51.3,21,76566,48.4, ,538,0.3, ,,,,Democratic,
1832 - Jackson,Pennsylvania,157679,90973,57.7,30,0, , ,66706,42.3, ,,,,Democratic,
1832 - Jackson,Rhode Island,5747,2051,35.7, ,2871,50,4,819,14.3, ,,,,Other,
1832 - Jackson,South Carolina,,0,,,0,,,11,,,,,,Other,Chosen by state legislature
1832 - Jackson,Tennessee,29425,28078,95.4,15,1347,4.6, ,0, , ,,,,Democratic,
1832 - Jackson,Vermont,32344,7865,24.3, ,11161,34.5, ,13112,40.5,7,,,,Other,
1832 - Jackson,Virginia,45682,34243,75,23,11436,25, ,3,0, ,,,,Democratic,
1836 - Van Buren,Alabama,37296,20638,55.3,7,0, , ,16658,44.7, ,0, , ,Democratic,
1836 - Van Buren,Arkansas,3714,2380,64.1,3,0, , ,1334,35.9, ,0, , ,Democratic,
1836 - Van Buren,Connecticut,38093,19294,50.6,8,18799,49.4, ,0, , ,0, , ,Democratic,
1836 - Van Buren,Delaware,8895,4154,46.7, ,4736,53.2,3,0, , ,0, , ,Whig,
1836 - Van Buren,Georgia,47259,22778,48.2, ,0, , ,24481,51.8,11,0, , ,Whig,
1836 - Van Buren,Illinois,33589,18369,54.7,5,15220,45.3, ,0, , ,0, , ,Democratic,
1836 - Van Buren,Indiana,74423,33084,44.5, ,41339,55.5,9,0, , ,0, , ,Whig,
1836 - Van Buren,Kentucky,70090,33229,47.4, ,36861,52.6,15,0, , ,0, , ,Whig,
1836 - Van Buren,Louisiana,7425,3842,51.7,5,0, , ,3583,48.3, ,0, , ,Democratic,
1836 - Van Buren,Maine,38740,22825,58.9,10,14803,38.2, ,0, , ,0, , ,Democratic,
1836 - Van Buren,Maryland,48119,22267,46.3, ,25852,53.7,10,0, , ,0, , ,Whig,
1836 - Van Buren,Massachusetts,74732,33486,44.8, ,0, , ,0, , ,41201,55.1,14,Whig,
1836 - Van Buren,Michigan,12052,6507,54,3,5545,46, ,0, , ,0, , ,Democratic,
1836 - Van Buren,Mississippi,20079,10297,51.3,4,0, , ,9782,48.7, ,0, , ,Democratic,
1836 - Van Buren,Missouri,18332,10995,60,4,0, , ,7337,40, ,0, , ,Democratic,
1836 - Van Buren,New Hampshire,24925,18697,75,7,6228,25, ,0, , ,0, , ,Democratic,
1836 - Van Buren,New Jersey,51729,25592,49.5, ,26137,50.5,8,0, , ,0, , ,Whig,
1836 - Van Buren,New York,305343,166795,54.6,42,138548,45.4, ,0, , ,0, , ,Democratic,
1836 - Van Buren,North Carolina,50153,26631,53.1,15,0, , ,23521,46.9, ,0, , ,Democratic,
1836 - Van Buren,Ohio,202931,97122,47.9, ,105809,52.1,21,0, , ,0, , ,Whig,
1836 - Van Buren,Pennsylvania,178701,91466,51.2,30,87235,48.8, ,0, , ,0, , ,Democratic,
1836 - Van Buren,Rhode Island,5673,2962,52.2,4,2710,47.8, ,0, , ,0, , ,Democratic,
1836 - Van Buren,South Carolina,,0,,,0,,,0,,,11,,,Whig,Chosen by state legislature
1836 - Van Buren,Tennessee,62197,26170,42.1, ,0, , ,36027,57.9,15,0, , ,Whig,
1836 - Van Buren,Vermont,35099,14040,40, ,20994,59.8,7,0, , ,0, , ,Whig,
1836 - Van Buren,Virginia,53945,30556,56.6,23,0, , ,23384,43.3, ,0, , ,Democratic,
1840 - Harrison,Alabama,62511,28515,45.6, ,33996,54.4,7,,,,,,,Democratic,
1840 - Harrison,Arkansas,11839,5160,43.6, ,6679,56.4,3,,,,,,,Democratic,
1840 - Harrison,Connecticut,56879,31598,55.6,8,25281,44.4, ,,,,,,,Whig,
1840 - Harrison,Delaware,10852,5967,55,3,4872,44.9, ,,,,,,,Whig,
1840 - Harrison,Georgia,72322,40339,55.8,11,31983,44.2, ,,,,,,,Whig,
1840 - Harrison,Illinois,93175,45574,48.9, ,47441,50.9,5,,,,,,,Democratic,
1840 - Harrison,Indiana,117605,65280,55.5,9,51696,44, ,,,,,,,Whig,
1840 - Harrison,Kentucky,91104,58488,64.2,15,32616,35.8, ,,,,,,,Whig,
1840 - Harrison,Louisiana,18912,11296,59.7,5,7616,40.3, ,,,,,,,Whig,
1840 - Harrison,Maine,92802,46612,50.2,10,46190,49.8, ,,,,,,,Whig,
1840 - Harrison,Maryland,62280,33528,53.8,10,28752,46.2, ,,,,,,,Whig,
1840 - Harrison,Massachusetts,126825,72852,57.4,14,52355,41.3, ,,,,,,,Whig,
1840 - Harrison,Michigan,44029,22933,52.1,3,21096,47.9, ,,,,,,,Whig,
1840 - Harrison,Mississippi,36525,19515,53.4,4,17010,46.6, ,,,,,,,Whig,
1840 - Harrison,Missouri,52923,22954,43.4, ,29969,56.6,4,,,,,,,Democratic,
1840 - Harrison,New Hampshire,59956,26310,43.9, ,32774,54.7,7,,,,,,,Democratic,
1840 - Harrison,New Jersey,64454,33351,51.7,8,31034,48.1, ,,,,,,,Whig,
1840 - Harrison,New York,441543,226001,51.2,42,212733,48.2, ,,,,,,,Whig,
1840 - Harrison,North Carolina,80735,46567,57.7,15,34168,42.3, ,,,,,,,Whig,
1840 - Harrison,Ohio,272890,148043,54.3,21,123944,45.4, ,,,,,,,Whig,
1840 - Harrison,Pennsylvania,287695,144023,50.1,30,143672,49.9, ,,,,,,,Whig,
1840 - Harrison,Rhode Island,8631,5213,60.4,4,3263,37.8, ,,,,,,,Whig,
1840 - Harrison,South Carolina,,0,,,11,,,,,,,,,Democratic,Chosen by state legislature
1840 - Harrison,Tennessee,108145,60194,55.7,15,47951,44.3, ,,,,,,,Whig,
1840 - Harrison,Vermont,50782,32440,63.9,7,18006,35.5, ,,,,,,,Whig,
1840 - Harrison,Virginia,86394,42637,49.4, ,43757,50.6,23,,,,,,,Democratic,
1844 - Polk,Alabama,63403,37401,59,9,26002,41, ,,,,,,,Democratic,
1844 - Polk,Arkansas,15150,9546,63,3,5604,37, ,,,,,,,Democratic,
1844 - Polk,Connecticut,64616,29841,46.2, ,32832,50.8,6,,,,,,,Whig,
1844 - Polk,Delaware,12247,5970,48.7, ,6271,51.2,3,,,,,,,Whig,
1844 - Polk,Georgia,86247,44147,51.2,10,42100,48.8, ,,,,,,,Democratic,
1844 - Polk,Illinois,109057,58795,53.9,9,45854,42, ,,,,,,,Democratic,
1844 - Polk,Indiana,140157,70183,50.1,12,67866,48.4, ,,,,,,,Democratic,
1844 - Polk,Kentucky,113237,51988,45.9, ,61249,54.1,12,,,,,,,Whig,
1844 - Polk,Louisiana,26865,13782,51.3,6,13083,48.7, ,,,,,,,Democratic,
1844 - Polk,Maine,84933,45719,53.8,9,34378,40.5, ,,,,,,,Democratic,
1844 - Polk,Maryland,68690,32706,47.6, ,35984,52.4,8,,,,,,,Whig,
1844 - Polk,Massachusetts,132037,53039,40.2, ,67062,50.8,12,,,,,,,Whig,
1844 - Polk,Michigan,55560,27737,49.9,5,24185,43.5, ,,,,,,,Democratic,
1844 - Polk,Mississippi,45004,25846,57.4,6,19158,42.6, ,,,,,,,Democratic,
1844 - Polk,Missouri,72522,41322,57,7,31200,43, ,,,,,,,Democratic,
1844 - Polk,New Hampshire,49187,27160,55.2,6,17866,36.3, ,,,,,,,Democratic,
1844 - Polk,New Jersey,75944,37495,49.4, ,38318,50.5,7,,,,,,,Whig,
1844 - Polk,New York,485882,237588,48.9,36,232482,47.8, ,,,,,,,Democratic,
1844 - Polk,North Carolina,82521,39287,47.6, ,43232,52.4,11,,,,,,,Whig,
1844 - Polk,Ohio,312300,149127,47.8, ,155091,49.7,23,,,,,,,Whig,
1844 - Polk,Pennsylvania,331645,167311,50.4,26,161195,48.6, ,,,,,,,Democratic,
